time,Vmax,count_rhs,errorSrel,errorPSIrel,errorSabs,errorPSIabs,maxPSI,minPSI,maxS,minS,fmax,ratio_addition
0,0,0,0,0,0,0,0,0,0,0,0,0
0.100000000000000006,1.00000000000000461e-09,10,0,0,0,0,0,0,0,0,1.12696931266990484e-15,0
0.300000000000000044,9.99999999999951259e-10,5,0,0,0,0,0,0,0,0,6.0753268735225241e-16,0
0.700000000000000067,9.99999999999924168e-10,3,0,0,0,0,0,0,0,0,3.99491975573780492e-16,0
1.5,1.00000000000021637e-09,3,0,0,0,0,0,0,0,0,1.70207670860725822e-16,0
3.10000000000000009,1.00000000000108905e-09,6,0,0,0,0,0,0,0,0,8.97537286734337997e-17,0
6.30000000000000071,1.000000000000753e-09,5,0,0,0,0,0,0,0,0,4.07660546250141701e-17,0
12.7000000000000011,9.9999999999135313e-10,6,0,0,0,0,0,0,0,0,2.90685560932118841e-17,0
25.5,9.99999999962317022e-10,5,0,0,0,0,0,0,0,0,1.55511278648949288e-17,0
50.4723713102753777,9.99999999937705918e-10,5,0,0,0,0,0,0,0,0,6.54460006696035157e-18,0
93.2526298786484631,9.99999999994860789e-10,5,0,0,0,0,0,0,0,0,3.06752981848144868e-18,0
174.116323440649069,1.00000000009837851e-09,6,0,0,0,0,0,0,0,0,1.81349754007145703e-18,0
271.61925925650587,9.99999999813085161e-10,4,0,0,0,0,0,0,0,0,1.97075450068513822e-18,0
405.82174018335661,9.99999998761837658e-10,5,0,0,0,0,0,0,0,0,2.48837104079632082e-18,0
674.226702037058089,9.99999995476813518e-10,4,0,0,0,0,0,0,0,0,8.09339981101483974e-19,0
958.116643645036106,9.99999991292165116e-10,4,0,0,0,0,0,0,0,0,4.30862485446823202e-19,0
1310.36146360828002,9.99999985092109348e-10,5,0,0,0,0,0,0,0,0,4.45539330255761978e-19,0
1982.80921846625779,9.99999969135924372e-10,5,0,0,0,0,0,0,0,0,2.10533494934457939e-19,0
2728.2470003678568,9.99999944737837847e-10,4,0,0,0,0,0,0,0,0,2.19487412457270575e-19,0
3526.72846958018499,9.99999912115798215e-10,10,0,0,0,0,0,0,0,0,2.58183502788899349e-19,0
4275.21776922156278,9.99999876966348546e-10,6,0,0,0,0,0,0,0,0,2.35819266471517554e-19,0
4986.10390249380998,9.99999840293897242e-10,6,0,0,0,0,0,0,0,0,2.71724103721076273e-19,0
5719.9265538481859,9.99999799446011086e-10,4,0,0,0,0,0,0,0,0,2.66502315007918062e-19,0
6534.36770335801884,9.99999750872899074e-10,5,0,0,0,0,0,0,0,0,2.79338892859157446e-19,0
7479.26043109795228,9.99999690749194153e-10,6,0,0,0,0,0,0,0,0,2.2173655598288929e-19,0
