time,Vmax,count_rhs,errorSrel,errorPSIrel,errorSabs,errorPSIabs,maxPSI,minPSI,maxS,minS,fmax
0,0,0,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,0
0.100000000000000006,1.00000000000000337e-09,7,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,4.40577666849555566e-15
1.10000000000000009,9.9999999999999179e-10,6,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,1.04207972644805214e-14
11.0999999999999996,9.9999999999881678e-10,6,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,1.04822445690171058e-14
111.099999999999994,9.9999999988231232e-10,6,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,1.11246784101998305e-14
1111.09999999999991,9.99999989305960329e-10,6,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,2.58019208026945934e-08
2971.05683273139039,9.99999934522700326e-10,6,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,8.73203155354579182e-07
5088.76704854315904,9.99999834559922388e-10,6,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,1.44709861003591115e-06
7634.35750176053716,9.99999680215664682e-10,6,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,2.0522149367841941e-06
10671.3705895053736,9.99999464259520587e-10,6,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,2.65238026719548282e-06
14298.2998859909876,9.99999176704981583e-10,6,7.40576531218814883e-312,7.44820522801733559e-312,7.49064514384652235e-312,7.5330850596757091e-312,7.57552497550489586e-312,7.61796489133408262e-312,7.23600564887140179e-312,7.27844556470058855e-312,3.25247457975387583e-06
