time,Vmax,count_rhs,errorSrel,errorPSIrel,errorSabs,errorPSIabs,maxPSI,minPSI,maxS,minS
0,0,0,0,0,0,0,0.703616329184731937,0.599999999999999867,0,0
0.100000000000000006,1.00000000000000337e-09,7,6.46238323159744719e-16,0,6.46234853557052871e-26,0,0.703616329184731937,0.600000187311330868,1.0000000000000034e-10,9.99990634472520973e-11
1.10000000000000009,9.99999999999989516e-10,6,9.40074805995748584e-16,0,1.03397576569128459e-24,0,0.703616329184731937,0.600002060296070172,1.09999999999999868e-09,1.09988668890651599e-09
11.0999999999999996,9.99999999998948095e-10,6,1.93955417797132326e-15,0,2.15066959263787195e-23,0,0.703616329184731937,0.600020777298189922,1.10999999999961173e-08,1.10884739238677592e-08
111.099999999999994,9.99999999895596634e-10,6,5.40711334216824092e-12,2.77460182900932582e-15,5.94550954523514596e-19,1.66533453693773481e-15,0.703616329184732048,0.600206674531150286,1.11099999996122411e-07,1.09957183596328677e-07
1111.09999999999991,9.99999990512818703e-10,6,5.54849440038731431e-08,1.87828760986005566e-10,5.58955817930504011e-14,1.13063336470986542e-10,0.703616329184843292,0.60194900864148293,1.11109999639344789e-06,1.00740088678985729e-06
4952.66236112846309,9.99999859750452283e-10,6,4.04118684816578477e-06,4.9269611517489044e-08,1.38471122267206379e-11,2.99176282636537394e-08,0.703616329192751522,0.607222734878509529,4.95266210763785552e-06,3.42649640983701862e-06
9791.93599535926114,9.99999582978195812e-10,6,1.38876316293845717e-06,2.8514698955851082e-08,7.32303972964535232e-12,1.74505051520057464e-08,0.703616329235606019,0.611982793701515759,9.79193442687140839e-06,5.27306593742785748e-06
16586.0553169679952,9.99999100014519897e-10,6,9.91060605873698239e-07,3.12248489338209898e-08,6.81473296253875963e-12,1.92605347226759704e-08,0.703616329385203798,0.616833558080794542,1.65860493170424984e-05,6.87620204269045034e-06
25943.8836811055953,9.99998351728984447e-10,6,6.94984814364508227e-07,3.05554260101358888e-08,5.7242540226512496e-12,1.89954326712538091e-08,0.703616329802883689,0.621671338435999976,2.59438658091241283e-05,8.23651668977183137e-06
38876.3190340689762,9.99997244879620499e-10,6,5.20578909891482146e-07,3.0470381880792471e-08,4.89091912789555404e-12,1.90901089380801636e-08,0.703616330851438265,0.626513605570765852,3.88762727504752731e-05,9.39515419269500506e-06
56741.7166151038691,9.9999565288307094e-10,6,4.01366625251172307e-07,3.0290699127593261e-08,4.16672081495102209e-12,1.91242580660500039e-08,0.703616333322940712,0.631357428508683149,5.67416069618399915e-05,1.03813335559316082e-05
81427.5675482061924,9.99993401420308016e-10,6,3.1649308585242703e-07,3.01299019240013065e-08,5.12641322350081835e-12,1.91687438144683142e-08,0.703616338934579422,0.63620331968860544,8.14273228704481421e-05,1.12207772596736216e-05
115542.093138935656,9.99990254700457609e-10,6,2.53559719717557968e-07,2.99688127850359339e-08,8.45850421497297555e-12,1.92115438002460337e-08,0.703616351394658168,0.641051206203043122,0.00011554156973583762,1.19352724693445483e-05
162693.409361741797,9.99985898477530359e-10,6,2.055829876718542e-07,2.98105744469447213e-08,1.3600967072968477e-11,1.9254683403246986e-08,0.703616378716521274,0.645901111300715813,0.000162692323705249136,1.25433923605141738e-05
227872.725970797066,9.99979922574626281e-10,6,2.14664515818037697e-07,2.96545800334780326e-08,2.15056737066891823e-11,1.92978083513040133e-08,0.703616438269388356,0.650753039514688658,0.000227870526034402613,1.30609528485488918e-05
317985.66136454558,9.999718065270911e-10,6,2.50689404173816864e-07,2.95008593196761754e-08,3.35832840757475243e-11,1.93409700477431556e-08,0.703616567869753795,0.655606996493998673,0.000317981285095352928,1.35014242593017115e-05
442587.786078621284,9.99960915711486138e-10,6,2.87370498017254026e-07,2.93493388829929986e-08,5.19081667297964511e-11,1.93841522833082536e-08,0.703616850245920911,0.660462985947010472,0.000442579214185132757,1.3876278715695135e-05
614903.322419947246,9.9994651931529241e-10,6,3.24858718680802593e-07,2.91999658146141993e-08,7.95937071676813823e-11,1.94273510611964184e-08,0.703617467100516536,0.665321010420914516,0.000614886764264603028,1.41952865417800856e-05
853236.126008095569,9.99927843556432617e-10,6,3.63056356955520172e-07,2.90526877538933714e-08,1.21111473931276303e-10,1.94705617184709467e-08,0.703618818310053573,0.670181071408390672,0.000853204568488340263,1.44667687195668038e-05
1182924.28399688564,9.99904166691265965e-10,6,4.02702749461775568e-07,2.89074551644650768e-08,1.83535102588928967e-10,1.95137804803735548e-08,0.703621782552700026,0.675043169503103946,0.00118286496956397343,1.46978119985631522e-05
1639048.12929458218,9.99874934837063352e-10,6,4.43555857266793186e-07,2.87642197611635949e-08,2.79425311122856457e-10,1.95570034611236565e-08,0.703628277437090666,0.679907304550407487,0.00163893829473335528,1.48944521922544526e-05
2270182.58322225371,9.99839820561945312e-10,6,4.87141035509700331e-07,2.86229370508225698e-08,4.24305979240813258e-10,1.96002284402752025e-08,0.703642427561126271,0.684773475771350615,0.00226998245042263737,1.50618303845468602e-05
3143597.24280812219,9.99798580384294757e-10,6,5.33593940702216149e-07,2.84835629789627871e-08,6.47223056399193197e-10,1.96434526422706313e-08,0.703672882357916696,0.689641681825966968,0.0031432386814382496,1.52043260644730399e-05
4352463.75260399375,9.99750580575413185e-10,6,5.85594530252839665e-07,2.83460555106714577e-08,9.89197220229581786e-10,1.96866738466638935e-08,0.703737057427460955,0.694511920918274295,0.00435183185858608376,1.53256706207034391e-05
